station,well,band,day,date,dye,medium,peak,conc
23,RW-13,0,0,1/6/2020,fluorescein,groundwater,*,*
24,EMW-14,0,0,1/6/2020,fluorescein,groundwater,*,*
25,RW-01,0,0,1/6/2020,fluorescein,groundwater,*,*
26,RW-03,0,0,1/6/2020,fluorescein,groundwater,*,*
1,RW-02,1,0,1/6/2020,fluorescein,groundwater,ND,ND
2,VE-02,1,0,1/6/2020,fluorescein,groundwater,ND,ND
18,RW-12,1,0,1/6/2020,fluorescein,groundwater,*,*
19,RW-10,1,0,1/6/2020,fluorescein,groundwater,*,*
3,RW-04,2,0,1/6/2020,fluorescein,groundwater,ND,ND
4,RW-06,2,0,1/6/2020,fluorescein,groundwater,ND,ND
5,RW-07,2,0,1/6/2020,fluorescein,groundwater,ND,ND
6,RW-08,2,0,1/6/2020,fluorescein,groundwater,515.5,0.459
20,RW-05,2,0,1/6/2020,fluorescein,groundwater,*,*
21,EMW-20,2,0,1/6/2020,fluorescein,groundwater,*,*
7,EMW-07,3,0,1/6/2020,fluorescein,groundwater,ND,ND
8,EMW-11,3,0,1/6/2020,fluorescein,groundwater,ND,ND
9,EMW-12,3,0,1/6/2020,fluorescein,groundwater,ND,ND
22,EMW-13,3,0,1/6/2020,fluorescein,groundwater,*,*
10,EMW-18,4,0,1/6/2020,fluorescein,groundwater,*,*
11,EMW-19,4,0,1/6/2020,fluorescein,groundwater,*,*
12,EMW-21,4.5,0,1/6/2020,fluorescein,groundwater,*,*
13,EMW-01,5,0,1/6/2020,fluorescein,groundwater,*,*
14,EMW-02,5,0,1/6/2020,fluorescein,groundwater,*,*
23,RW-13,0,0,1/6/2020,RWT,groundwater,*,*
24,EMW-14,0,0,1/6/2020,RWT,groundwater,*,*
25,RW-01,0,0,1/6/2020,RWT,groundwater,*,*
26,RW-03,0,0,1/6/2020,RWT,groundwater,*,*
1,RW-02,1,0,1/6/2020,RWT,groundwater,ND,ND
2,VE-02,1,0,1/6/2020,RWT,groundwater,ND,ND
18,RW-12,1,0,1/6/2020,RWT,groundwater,*,*
19,RW-10,1,0,1/6/2020,RWT,groundwater,*,*
3,RW-04,2,0,1/6/2020,RWT,groundwater,ND,ND
4,RW-06,2,0,1/6/2020,RWT,groundwater,ND,ND
5,RW-07,2,0,1/6/2020,RWT,groundwater,ND,ND
6,RW-08,2,0,1/6/2020,RWT,groundwater,515.5,0.459
20,RW-05,2,0,1/6/2020,RWT,groundwater,*,*
21,EMW-20,2,0,1/6/2020,RWT,groundwater,*,*
7,EMW-07,3,0,1/6/2020,RWT,groundwater,ND,ND
8,EMW-11,3,0,1/6/2020,RWT,groundwater,ND,ND
9,EMW-12,3,0,1/6/2020,RWT,groundwater,ND,ND
22,EMW-13,3,0,1/6/2020,RWT,groundwater,*,*
10,EMW-18,4,0,1/6/2020,RWT,groundwater,*,*
11,EMW-19,4,0,1/6/2020,RWT,groundwater,*,*
12,EMW-21,4.5,0,1/6/2020,RWT,groundwater,*,*
13,EMW-01,5,0,1/6/2020,RWT,groundwater,*,*
14,EMW-02,5,0,1/6/2020,RWT,groundwater,*,*
23,RW-13,0,0,1/6/2020,fluorescein,carbon,*,*
24,EMW-14,0,0,1/6/2020,fluorescein,carbon,*,*
25,RW-01,0,0,1/6/2020,fluorescein,carbon,*,*
26,RW-03,0,0,1/6/2020,fluorescein,carbon,*,*
1,RW-02,1,0,1/6/2020,fluorescein,carbon,ND,ND
2,VE-02,1,0,1/6/2020,fluorescein,carbon,ND,ND
18,RW-12,1,0,1/6/2020,fluorescein,carbon,*,*
19,RW-10,1,0,1/6/2020,fluorescein,carbon,*,*
3,RW-04,2,0,1/6/2020,fluorescein,carbon,ND,ND
4,RW-06,2,0,1/6/2020,fluorescein,carbon,ND,ND
5,RW-07,2,0,1/6/2020,fluorescein,carbon,ND,ND
6,RW-08,2,0,1/6/2020,fluorescein,carbon,515.5,0.459
20,RW-05,2,0,1/6/2020,fluorescein,carbon,*,*
21,EMW-20,2,0,1/6/2020,fluorescein,carbon,*,*
7,EMW-07,3,0,1/6/2020,fluorescein,carbon,ND,ND
8,EMW-11,3,0,1/6/2020,fluorescein,carbon,ND,ND
9,EMW-12,3,0,1/6/2020,fluorescein,carbon,ND,ND
22,EMW-13,3,0,1/6/2020,fluorescein,carbon,*,*
10,EMW-18,4,0,1/6/2020,fluorescein,carbon,*,*
11,EMW-19,4,0,1/6/2020,fluorescein,carbon,*,*
12,EMW-21,4.5,0,1/6/2020,fluorescein,carbon,*,*
13,EMW-01,5,0,1/6/2020,fluorescein,carbon,*,*
14,EMW-02,5,0,1/6/2020,fluorescein,carbon,*,*
23,RW-13,0,0,1/6/2020,RWT,groundwater,*,*
24,EMW-14,0,0,1/6/2020,RWT,groundwater,*,*
25,RW-01,0,0,1/6/2020,RWT,groundwater,*,*
26,RW-03,0,0,1/6/2020,RWT,groundwater,*,*
1,RW-02,1,0,1/6/2020,RWT,groundwater,ND,ND
2,VE-02,1,0,1/6/2020,RWT,groundwater,ND,ND
18,RW-12,1,0,1/6/2020,RWT,groundwater,*,*
19,RW-10,1,0,1/6/2020,RWT,groundwater,*,*
3,RW-04,2,0,1/6/2020,RWT,groundwater,ND,ND
4,RW-06,2,0,1/6/2020,RWT,groundwater,ND,ND
5,RW-07,2,0,1/6/2020,RWT,groundwater,ND,ND
6,RW-08,2,0,1/6/2020,RWT,groundwater,515.5,0.459
20,RW-05,2,0,1/6/2020,RWT,groundwater,*,*
21,EMW-20,2,0,1/6/2020,RWT,groundwater,*,*
7,EMW-07,3,0,1/6/2020,RWT,groundwater,ND,ND
8,EMW-11,3,0,1/6/2020,RWT,groundwater,ND,ND
9,EMW-12,3,0,1/6/2020,RWT,groundwater,ND,ND
22,EMW-13,3,0,1/6/2020,RWT,groundwater,*,*
10,EMW-18,4,0,1/6/2020,RWT,groundwater,*,*
11,EMW-19,4,0,1/6/2020,RWT,groundwater,*,*
12,EMW-21,4.5,0,1/6/2020,RWT,groundwater,*,*
13,EMW-01,5,0,1/6/2020,RWT,groundwater,*,*
14,EMW-02,5,0,1/6/2020,RWT,groundwater,*,*
23,RW-13,0,3,1/9/2020,fluorescein,groundwater,*,*
24,EMW-14,0,3,1/9/2020,fluorescein,groundwater,*,*
25,RW-01,0,3,1/9/2020,fluorescein,groundwater,*,*
26,RW-03,0,3,1/9/2020,fluorescein,groundwater,*,*
1,RW-02,1,3,1/9/2020,fluorescein,groundwater,ND,ND
2,VE-02,1,3,1/9/2020,fluorescein,groundwater,ND,ND
18,RW-12,1,3,1/9/2020,fluorescein,groundwater,*,*
19,RW-10,1,3,1/9/2020,fluorescein,groundwater,*,*
3,RW-04,2,3,1/9/2020,fluorescein,groundwater,ND,ND
4,RW-06,2,3,1/9/2020,fluorescein,groundwater,ND,ND
5,RW-07,2,3,1/9/2020,fluorescein,groundwater,ND,ND
6,RW-08,2,3,1/9/2020,fluorescein,groundwater,515.5,0.459
20,RW-05,2,3,1/9/2020,fluorescein,groundwater,*,*
21,EMW-20,2,3,1/9/2020,fluorescein,groundwater,*,*
7,EMW-07,3,3,1/9/2020,fluorescein,groundwater,ND,ND
8,EMW-11,3,3,1/9/2020,fluorescein,groundwater,ND,ND
9,EMW-12,3,3,1/9/2020,fluorescein,groundwater,ND,ND
22,EMW-13,3,3,1/9/2020,fluorescein,groundwater,*,*
10,EMW-18,4,3,1/9/2020,fluorescein,groundwater,*,*
11,EMW-19,4,3,1/9/2020,fluorescein,groundwater,*,*
12,EMW-21,4.5,3,1/9/2020,fluorescein,groundwater,*,*
13,EMW-01,5,3,1/9/2020,fluorescein,groundwater,*,*
14,EMW-02,5,3,1/9/2020,fluorescein,groundwater,*,*
23,RW-13,0,3,1/9/2020,RWT,groundwater,*,*
24,EMW-14,0,3,1/9/2020,RWT,groundwater,*,*
25,RW-01,0,3,1/9/2020,RWT,groundwater,*,*
26,RW-03,0,3,1/9/2020,RWT,groundwater,*,*
1,RW-02,1,3,1/9/2020,RWT,groundwater,-,-
2,VE-02,1,3,1/9/2020,RWT,groundwater,-,-
18,RW-12,1,3,1/9/2020,RWT,groundwater,*,*
19,RW-10,1,3,1/9/2020,RWT,groundwater,*,*
3,RW-04,2,3,1/9/2020,RWT,groundwater,*,*
4,RW-06,2,3,1/9/2020,RWT,groundwater,*,*
5,RW-07,2,3,1/9/2020,RWT,groundwater,*,*
6,RW-08,2,3,1/9/2020,RWT,groundwater,-,-
20,RW-05,2,3,1/9/2020,RWT,groundwater,*,*
21,EMW-20,2,3,1/9/2020,RWT,groundwater,*,*
7,EMW-07,3,3,1/9/2020,RWT,groundwater,-,-
8,EMW-11,3,3,1/9/2020,RWT,groundwater,-,-
9,EMW-12,3,3,1/9/2020,RWT,groundwater,-,-
22,EMW-13,3,3,1/9/2020,RWT,groundwater,*,*
10,EMW-18,4,3,1/9/2020,RWT,groundwater,*,*
11,EMW-19,4,3,1/9/2020,RWT,groundwater,*,*
12,EMW-21,4.5,3,1/9/2020,RWT,groundwater,*,*
13,EMW-01,5,3,1/9/2020,RWT,groundwater,*,*
14,EMW-02,5,3,1/9/2020,RWT,groundwater,*,*
23,RW-13,0,3,1/9/2020,fluorescein,carbon,*,*
24,EMW-14,0,3,1/9/2020,fluorescein,carbon,*,*
25,RW-01,0,3,1/9/2020,fluorescein,carbon,*,*
26,RW-03,0,3,1/9/2020,fluorescein,carbon,*,*
1,RW-02,1,3,1/9/2020,fluorescein,carbon,ND,ND
2,VE-02,1,3,1/9/2020,fluorescein,carbon,ND,ND
18,RW-12,1,3,1/9/2020,fluorescein,carbon,*,*
19,RW-10,1,3,1/9/2020,fluorescein,carbon,*,*
3,RW-04,2,3,1/9/2020,fluorescein,carbon,ND,ND
4,RW-06,2,3,1/9/2020,fluorescein,carbon,ND,ND
5,RW-07,2,3,1/9/2020,fluorescein,carbon,ND,ND
6,RW-08,2,3,1/9/2020,fluorescein,carbon,515.5,0.459
20,RW-05,2,3,1/9/2020,fluorescein,carbon,*,*
21,EMW-20,2,3,1/9/2020,fluorescein,carbon,*,*
7,EMW-07,3,3,1/9/2020,fluorescein,carbon,ND,ND
8,EMW-11,3,3,1/9/2020,fluorescein,carbon,ND,ND
9,EMW-12,3,3,1/9/2020,fluorescein,carbon,ND,ND
22,EMW-13,3,3,1/9/2020,fluorescein,carbon,*,*
10,EMW-18,4,3,1/9/2020,fluorescein,carbon,*,*
11,EMW-19,4,3,1/9/2020,fluorescein,carbon,*,*
12,EMW-21,4.5,3,1/9/2020,fluorescein,carbon,*,*
13,EMW-01,5,3,1/9/2020,fluorescein,carbon,*,*
14,EMW-02,5,3,1/9/2020,fluorescein,carbon,*,*
23,RW-13,0,3,1/9/2020,RWT,carbon,*,*
24,EMW-14,0,3,1/9/2020,RWT,carbon,*,*
25,RW-01,0,3,1/9/2020,RWT,carbon,*,*
26,RW-03,0,3,1/9/2020,RWT,carbon,*,*
1,RW-02,1,3,1/9/2020,RWT,carbon,ND,ND
2,VE-02,1,3,1/9/2020,RWT,carbon,ND,ND
18,RW-12,1,3,1/9/2020,RWT,carbon,*,*
19,RW-10,1,3,1/9/2020,RWT,carbon,*,*
3,RW-04,2,3,1/9/2020,RWT,carbon,ND,ND
4,RW-06,2,3,1/9/2020,RWT,carbon,ND,ND
5,RW-07,2,3,1/9/2020,RWT,carbon,ND,ND
6,RW-08,2,3,1/9/2020,RWT,carbon,ND,ND
20,RW-05,2,3,1/9/2020,RWT,carbon,*,*
21,EMW-20,2,3,1/9/2020,RWT,carbon,*,*
7,EMW-07,3,3,1/9/2020,RWT,carbon,ND,ND
8,EMW-11,3,3,1/9/2020,RWT,carbon,ND,ND
9,EMW-12,3,3,1/9/2020,RWT,carbon,ND,ND
22,EMW-13,3,3,1/9/2020,RWT,carbon,*,*
10,EMW-18,4,3,1/9/2020,RWT,carbon,*,*
11,EMW-19,4,3,1/9/2020,RWT,carbon,*,*
12,EMW-21,4.5,3,1/9/2020,RWT,carbon,*,*
13,EMW-01,5,3,1/9/2020,RWT,carbon,*,*
14,EMW-02,5,3,1/9/2020,RWT,carbon,*,*
23,RW-13,0,28,1/13/2020,fluorescein,groundwater,*,*
24,EMW-14,0,28,1/13/2020,fluorescein,groundwater,*,*
25,RW-01,0,28,1/13/2020,fluorescein,groundwater,*,*
26,RW-03,0,28,1/13/2020,fluorescein,groundwater,*,*
1,RW-02,1,28,1/13/2020,fluorescein,groundwater,-,-
2,VE-02,1,28,1/13/2020,fluorescein,groundwater,-,-
18,RW-12,1,28,1/13/2020,fluorescein,groundwater,*,*
19,RW-10,1,28,1/13/2020,fluorescein,groundwater,*,*
3,RW-04,2,28,1/13/2020,fluorescein,groundwater,-,-
4,RW-06,2,28,1/13/2020,fluorescein,groundwater,-,-
5,RW-07,2,28,1/13/2020,fluorescein,groundwater,-,-
6,RW-08,2,28,1/13/2020,fluorescein,groundwater,-,-
20,RW-05,2,28,1/13/2020,fluorescein,groundwater,*,*
21,EMW-20,2,28,1/13/2020,fluorescein,groundwater,*,*
7,EMW-07,3,28,1/13/2020,fluorescein,groundwater,-,-
8,EMW-11,3,28,1/13/2020,fluorescein,groundwater,-,-
9,EMW-12,3,28,1/13/2020,fluorescein,groundwater,-,-
22,EMW-13,3,28,1/13/2020,fluorescein,groundwater,*,*
10,EMW-18,4,28,1/13/2020,fluorescein,groundwater,*,*
11,EMW-19,4,28,1/13/2020,fluorescein,groundwater,*,*
12,EMW-21,4.5,28,1/13/2020,fluorescein,groundwater,*,*
13,EMW-01,5,28,1/13/2020,fluorescein,groundwater,*,*
14,EMW-02,5,28,1/13/2020,fluorescein,groundwater,*,*
23,RW-13,0,28,1/13/2020,RWT,groundwater,*,*
24,EMW-14,0,28,1/13/2020,RWT,groundwater,*,*
25,RW-01,0,28,1/13/2020,RWT,groundwater,*,*
26,RW-03,0,28,1/13/2020,RWT,groundwater,*,*
1,RW-02,1,28,1/13/2020,RWT,groundwater,-,-
2,VE-02,1,28,1/13/2020,RWT,groundwater,-,-
18,RW-12,1,28,1/13/2020,RWT,groundwater,*,*
19,RW-10,1,28,1/13/2020,RWT,groundwater,*,*
3,RW-04,2,28,1/13/2020,RWT,groundwater,-,-
4,RW-06,2,28,1/13/2020,RWT,groundwater,-,-
5,RW-07,2,28,1/13/2020,RWT,groundwater,-,-
6,RW-08,2,28,1/13/2020,RWT,groundwater,-,-
20,RW-05,2,28,1/13/2020,RWT,groundwater,*,*
21,EMW-20,2,28,1/13/2020,RWT,groundwater,*,*
7,EMW-07,3,28,1/13/2020,RWT,groundwater,-,-
8,EMW-11,3,28,1/13/2020,RWT,groundwater,-,-
9,EMW-12,3,28,1/13/2020,RWT,groundwater,-,-
22,EMW-13,3,28,1/13/2020,RWT,groundwater,*,*
10,EMW-18,4,28,1/13/2020,RWT,groundwater,*,*
11,EMW-19,4,28,1/13/2020,RWT,groundwater,*,*
12,EMW-21,4.5,28,1/13/2020,RWT,groundwater,*,*
13,EMW-01,5,28,1/13/2020,RWT,groundwater,*,*
14,EMW-02,5,28,1/13/2020,RWT,groundwater,*,*
23,RW-13,0,28,1/13/2020,fluorescein,carbon,*,*
24,EMW-14,0,28,1/13/2020,fluorescein,carbon,*,*
25,RW-01,0,28,1/13/2020,fluorescein,carbon,*,*
26,RW-03,0,28,1/13/2020,fluorescein,carbon,*,*
1,RW-02,1,28,1/13/2020,fluorescein,carbon,ND,ND
2,VE-02,1,28,1/13/2020,fluorescein,carbon,ND,ND
18,RW-12,1,28,1/13/2020,fluorescein,carbon,*,*
19,RW-10,1,28,1/13/2020,fluorescein,carbon,*,*
3,RW-04,2,28,1/13/2020,fluorescein,carbon,ND,ND
4,RW-06,2,28,1/13/2020,fluorescein,carbon,ND,ND
5,RW-07,2,28,1/13/2020,fluorescein,carbon,ND,ND
6,RW-08,2,28,1/13/2020,fluorescein,carbon,ND,ND
20,RW-05,2,28,1/13/2020,fluorescein,carbon,*,*
21,EMW-20,2,28,1/13/2020,fluorescein,carbon,*,*
7,EMW-07,3,28,1/13/2020,fluorescein,carbon,515.6,0.262
8,EMW-11,3,28,1/13/2020,fluorescein,carbon,ND,ND
9,EMW-12,3,28,1/13/2020,fluorescein,carbon,ND,ND
22,EMW-13,3,28,1/13/2020,fluorescein,carbon,*,*
10,EMW-18,4,28,1/13/2020,fluorescein,carbon,*,*
11,EMW-19,4,28,1/13/2020,fluorescein,carbon,*,*
12,EMW-21,4.5,28,1/13/2020,fluorescein,carbon,*,*
13,EMW-01,5,28,1/13/2020,fluorescein,carbon,*,*
14,EMW-02,5,28,1/13/2020,fluorescein,carbon,*,*
23,RW-13,0,28,1/13/2020,RWT,carbon,*,*
24,EMW-14,0,28,1/13/2020,RWT,carbon,*,*
25,RW-01,0,28,1/13/2020,RWT,carbon,*,*
26,RW-03,0,28,1/13/2020,RWT,carbon,*,*
1,RW-02,1,28,1/13/2020,RWT,carbon,ND,ND
2,VE-02,1,28,1/13/2020,RWT,carbon,ND,ND
18,RW-12,1,28,1/13/2020,RWT,carbon,*,*
19,RW-10,1,28,1/13/2020,RWT,carbon,*,*
3,RW-04,2,28,1/13/2020,RWT,carbon,ND,ND
4,RW-06,2,28,1/13/2020,RWT,carbon,ND,ND
5,RW-07,2,28,1/13/2020,RWT,carbon,ND,ND
6,RW-08,2,28,1/13/2020,RWT,carbon,ND,ND
20,RW-05,2,28,1/13/2020,RWT,carbon,*,*
21,EMW-20,2,28,1/13/2020,RWT,carbon,*,*
7,EMW-07,3,28,1/13/2020,RWT,carbon,ND,ND
8,EMW-11,3,28,1/13/2020,RWT,carbon,ND,ND
9,EMW-12,3,28,1/13/2020,RWT,carbon,ND,ND
22,EMW-13,3,28,1/13/2020,RWT,carbon,*,*
10,EMW-18,4,28,1/13/2020,RWT,carbon,*,*
11,EMW-19,4,28,1/13/2020,RWT,carbon,*,*
12,EMW-21,4.5,28,1/13/2020,RWT,carbon,*,*
13,EMW-01,5,28,1/13/2020,RWT,carbon,*,*
14,EMW-02,5,28,1/13/2020,RWT,carbon,*,*
23,RW-13,0,28,2/3/2020,fluorescein,groundwater,*,*
24,EMW-14,0,28,2/3/2020,fluorescein,groundwater,*,*
25,RW-01,0,28,2/3/2020,fluorescein,groundwater,*,*
26,RW-03,0,28,2/3/2020,fluorescein,groundwater,*,*
1,RW-02,1,28,2/3/2020,fluorescein,groundwater,-,-
2,VE-02,1,28,2/3/2020,fluorescein,groundwater,-,-
18,RW-12,1,28,2/3/2020,fluorescein,groundwater,*,*
19,RW-10,1,28,2/3/2020,fluorescein,groundwater,*,*
3,RW-04,2,28,2/3/2020,fluorescein,groundwater,ND,ND
4,RW-06,2,28,2/3/2020,fluorescein,groundwater,-,-
5,RW-07,2,28,2/3/2020,fluorescein,groundwater,-,-
6,RW-08,2,28,2/3/2020,fluorescein,groundwater,-,-
20,RW-05,2,28,2/3/2020,fluorescein,groundwater,*,*
21,EMW-20,2,28,2/3/2020,fluorescein,groundwater,*,*
7,EMW-07,3,28,2/3/2020,fluorescein,groundwater,-,-
8,EMW-11,3,28,2/3/2020,fluorescein,groundwater,-,-
9,EMW-12,3,28,2/3/2020,fluorescein,groundwater,-,-
22,EMW-13,3,28,2/3/2020,fluorescein,groundwater,*,*
10,EMW-18,4,28,2/3/2020,fluorescein,groundwater,-,-
11,EMW-19,4,28,2/3/2020,fluorescein,groundwater,-,-
12,EMW-21,4.5,28,2/3/2020,fluorescein,groundwater,ND,ND
13,EMW-01,5,28,2/3/2020,fluorescein,groundwater,-,-
14,EMW-02,5,28,2/3/2020,fluorescein,groundwater,-,-
23,RW-13,0,28,2/3/2020,RWT,groundwater,*,*
24,EMW-14,0,28,2/3/2020,RWT,groundwater,*,*
25,RW-01,0,28,2/3/2020,RWT,groundwater,*,*
26,RW-03,0,28,2/3/2020,RWT,groundwater,*,*
1,RW-02,1,28,2/3/2020,RWT,groundwater,-,-
2,VE-02,1,28,2/3/2020,RWT,groundwater,-,-
18,RW-12,1,28,2/3/2020,RWT,groundwater,*,*
19,RW-10,1,28,2/3/2020,RWT,groundwater,*,*
3,RW-04,2,28,2/3/2020,RWT,groundwater,572.6,3.87
4,RW-06,2,28,2/3/2020,RWT,groundwater,-,-
5,RW-07,2,28,2/3/2020,RWT,groundwater,-,-
6,RW-08,2,28,2/3/2020,RWT,groundwater,-,-
20,RW-05,2,28,2/3/2020,RWT,groundwater,*,*
21,EMW-20,2,28,2/3/2020,RWT,groundwater,*,*
7,EMW-07,3,28,2/3/2020,RWT,groundwater,-,-
8,EMW-11,3,28,2/3/2020,RWT,groundwater,-,-
9,EMW-12,3,28,2/3/2020,RWT,groundwater,-,-
22,EMW-13,3,28,2/3/2020,RWT,groundwater,*,*
10,EMW-18,4,28,2/3/2020,RWT,groundwater,-,-
11,EMW-19,4,28,2/3/2020,RWT,groundwater,-,-
12,EMW-21,4.5,28,2/3/2020,RWT,groundwater,ND,ND
13,EMW-01,5,28,2/3/2020,RWT,groundwater,-,-
14,EMW-02,5,28,2/3/2020,RWT,groundwater,-,-
23,RW-13,0,28,2/3/2020,fluorescein,carbon,*,*
24,EMW-14,0,28,2/3/2020,fluorescein,carbon,*,*
25,RW-01,0,28,2/3/2020,fluorescein,carbon,*,*
26,RW-03,0,28,2/3/2020,fluorescein,carbon,*,*
1,RW-02,1,28,2/3/2020,fluorescein,carbon,-,-
2,VE-02,1,28,2/3/2020,fluorescein,carbon,-,-
18,RW-12,1,28,2/3/2020,fluorescein,carbon,*,*
19,RW-10,1,28,2/3/2020,fluorescein,carbon,*,*
3,RW-04,2,28,2/3/2020,fluorescein,carbon,572.6,3.87
4,RW-06,2,28,2/3/2020,fluorescein,carbon,-,-
5,RW-07,2,28,2/3/2020,fluorescein,carbon,-,-
6,RW-08,2,28,2/3/2020,fluorescein,carbon,-,-
20,RW-05,2,28,2/3/2020,fluorescein,carbon,*,*
21,EMW-20,2,28,2/3/2020,fluorescein,carbon,*,*
7,EMW-07,3,28,2/3/2020,fluorescein,carbon,-,-
8,EMW-11,3,28,2/3/2020,fluorescein,carbon,-,-
9,EMW-12,3,28,2/3/2020,fluorescein,carbon,-,-
22,EMW-13,3,28,2/3/2020,fluorescein,carbon,*,*
10,EMW-18,4,28,2/3/2020,fluorescein,carbon,-,-
11,EMW-19,4,28,2/3/2020,fluorescein,carbon,-,-
12,EMW-21,4.5,28,2/3/2020,fluorescein,carbon,ND,ND
13,EMW-01,5,28,2/3/2020,fluorescein,carbon,-,-
14,EMW-02,5,28,2/3/2020,fluorescein,carbon,-,-
23,RW-13,0,28,2/3/2020,RWT,carbon,*,*
24,EMW-14,0,28,2/3/2020,RWT,carbon,*,*
25,RW-01,0,28,2/3/2020,RWT,carbon,*,*
26,RW-03,0,28,2/3/2020,RWT,carbon,*,*
1,RW-02,1,28,2/3/2020,RWT,carbon,ND,ND
2,VE-02,1,28,2/3/2020,RWT,carbon,ND,ND
18,RW-12,1,28,2/3/2020,RWT,carbon,*,*
19,RW-10,1,28,2/3/2020,RWT,carbon,*,*
3,RW-04,2,28,2/3/2020,RWT,carbon,566.0,9.36
4,RW-06,2,28,2/3/2020,RWT,carbon,ND,ND
5,RW-07,2,28,2/3/2020,RWT,carbon,ND,ND
6,RW-08,2,28,2/3/2020,RWT,carbon,ND,ND
20,RW-05,2,28,2/3/2020,RWT,carbon,*,*
21,EMW-20,2,28,2/3/2020,RWT,carbon,*,*
7,EMW-07,3,28,2/3/2020,RWT,carbon,ND,ND
8,EMW-11,3,28,2/3/2020,RWT,carbon,ND,ND
9,EMW-12,3,28,2/3/2020,RWT,carbon,ND,ND
22,EMW-13,3,28,2/3/2020,RWT,carbon,*,*
10,EMW-18,4,28,2/3/2020,RWT,carbon,ND,ND
11,EMW-19,4,28,2/3/2020,RWT,carbon,ND,ND
12,EMW-21,4.5,28,2/3/2020,RWT,carbon,ND,ND
13,EMW-01,5,28,2/3/2020,RWT,carbon,ND,ND
14,EMW-02,5,28,2/3/2020,RWT,carbon,ND,ND
23,RW-13,0,35,2/10/2020,fluorescein,groundwater,*,*
24,EMW-14,0,35,2/10/2020,fluorescein,groundwater,*,*
25,RW-01,0,35,2/10/2020,fluorescein,groundwater,*,*
26,RW-03,0,35,2/10/2020,fluorescein,groundwater,*,*
1,RW-02,1,35,2/10/2020,fluorescein,groundwater,-,-
2,VE-02,1,35,2/10/2020,fluorescein,groundwater,-,-
18,RW-12,1,35,2/10/2020,fluorescein,groundwater,ND,ND
19,RW-10,1,35,2/10/2020,fluorescein,groundwater,ND,ND
3,RW-04,2,35,2/10/2020,fluorescein,groundwater,ND,ND
4,RW-06,2,35,2/10/2020,fluorescein,groundwater,-,-
5,RW-07,2,35,2/10/2020,fluorescein,groundwater,-,-
6,RW-08,2,35,2/10/2020,fluorescein,groundwater,-,-
20,RW-05,2,35,2/10/2020,fluorescein,groundwater,ND,ND
21,EMW-20,2,35,2/10/2020,fluorescein,groundwater,ND,ND
7,EMW-07,3,35,2/10/2020,fluorescein,groundwater,-,-
8,EMW-11,3,35,2/10/2020,fluorescein,groundwater,-,-
9,EMW-12,3,35,2/10/2020,fluorescein,groundwater,-,-
22,EMW-13,3,35,2/10/2020,fluorescein,groundwater,ND,ND
10,EMW-18,4,35,2/10/2020,fluorescein,groundwater,*,*
11,EMW-19,4,35,2/10/2020,fluorescein,groundwater,*,*
12,EMW-21,4.5,35,2/10/2020,fluorescein,groundwater,*,*
13,EMW-01,5,35,2/10/2020,fluorescein,groundwater,*,*
14,EMW-02,5,35,2/10/2020,fluorescein,groundwater,*,*
23,RW-13,0,35,2/10/2020,RWT,groundwater,*,*
24,EMW-14,0,35,2/10/2020,RWT,groundwater,*,*
25,RW-01,0,35,2/10/2020,RWT,groundwater,*,*
26,RW-03,0,35,2/10/2020,RWT,groundwater,*,*
