station,well,band,day,date,dye,medium,peak,conc
1,RW-02,1,35,2/10/2020,RWT,groundwater,-,-
2,VE-02,1,35,2/10/2020,RWT,groundwater,-,-
18,RW-12,1,35,2/10/2020,RWT,groundwater,ND,ND
19,RW-10,1,35,2/10/2020,RWT,groundwater,ND,ND
3,RW-04,2,35,2/10/2020,RWT,groundwater,ND,ND
4,RW-06,2,35,2/10/2020,RWT,groundwater,-,-
5,RW-07,2,35,2/10/2020,RWT,groundwater,-,-
6,RW-08,2,35,2/10/2020,RWT,groundwater,-,-
20,RW-05,2,35,2/10/2020,RWT,groundwater,ND,ND
21,EMW-20,2,35,2/10/2020,RWT,groundwater,ND,ND
7,EMW-07,3,35,2/10/2020,RWT,groundwater,-,-
8,EMW-11,3,35,2/10/2020,RWT,groundwater,-,-
9,EMW-12,3,35,2/10/2020,RWT,groundwater,-,-
22,EMW-13,3,35,2/10/2020,RWT,groundwater,ND,ND
10,EMW-18,4,35,2/10/2020,RWT,groundwater,*,*
11,EMW-19,4,35,2/10/2020,RWT,groundwater,*,*
12,EMW-21,4.5,35,2/10/2020,RWT,groundwater,*,*
13,EMW-01,5,35,2/10/2020,RWT,groundwater,*,*
14,EMW-02,5,35,2/10/2020,RWT,groundwater,*,*
23,RW-13,0,35,2/10/2020,fluorescein,carbon,*,*
24,EMW-14,0,35,2/10/2020,fluorescein,carbon,*,*
25,RW-01,0,35,2/10/2020,fluorescein,carbon,*,*
26,RW-03,0,35,2/10/2020,fluorescein,carbon,*,*
1,RW-02,1,35,2/10/2020,fluorescein,carbon,ND,ND
2,VE-02,1,35,2/10/2020,fluorescein,carbon,ND,ND
18,RW-12,1,35,2/10/2020,fluorescein,carbon,*,*
19,RW-10,1,35,2/10/2020,fluorescein,carbon,*,*
3,RW-04,2,35,2/10/2020,fluorescein,carbon,ND,ND
4,RW-06,2,35,2/10/2020,fluorescein,carbon,ND,ND
5,RW-07,2,35,2/10/2020,fluorescein,carbon,ND,ND
6,RW-08,2,35,2/10/2020,fluorescein,carbon,ND,ND
20,RW-05,2,35,2/10/2020,fluorescein,carbon,*,*
21,EMW-20,2,35,2/10/2020,fluorescein,carbon,*,*
7,EMW-07,3,35,2/10/2020,fluorescein,carbon,ND,ND
8,EMW-11,3,35,2/10/2020,fluorescein,carbon,ND,ND
9,EMW-12,3,35,2/10/2020,fluorescein,carbon,ND,ND
22,EMW-13,3,35,2/10/2020,fluorescein,carbon,*,*
10,EMW-18,4,35,2/10/2020,fluorescein,carbon,*,*
11,EMW-19,4,35,2/10/2020,fluorescein,carbon,*,*
12,EMW-21,4.5,35,2/10/2020,fluorescein,carbon,*,*
13,EMW-01,5,35,2/10/2020,fluorescein,carbon,*,*
14,EMW-02,5,35,2/10/2020,fluorescein,carbon,*,*
23,RW-13,0,35,2/10/2020,RWT,carbon,*,*
24,EMW-14,0,35,2/10/2020,RWT,carbon,*,*
25,RW-01,0,35,2/10/2020,RWT,carbon,*,*
26,RW-03,0,35,2/10/2020,RWT,carbon,*,*
1,RW-02,1,35,2/10/2020,RWT,carbon,ND,ND
2,VE-02,1,35,2/10/2020,RWT,carbon,ND,ND
18,RW-12,1,35,2/10/2020,RWT,carbon,*,*
19,RW-10,1,35,2/10/2020,RWT,carbon,*,*
3,RW-04,2,35,2/10/2020,RWT,carbon,567.8,8.80
4,RW-06,2,35,2/10/2020,RWT,carbon,ND,ND
5,RW-07,2,35,2/10/2020,RWT,carbon,ND,ND
6,RW-08,2,35,2/10/2020,RWT,carbon,ND,ND
20,RW-05,2,35,2/10/2020,RWT,carbon,*,*
21,EMW-20,2,35,2/10/2020,RWT,carbon,*,*
7,EMW-07,3,35,2/10/2020,RWT,carbon,ND,ND
8,EMW-11,3,35,2/10/2020,RWT,carbon,ND,ND
9,EMW-12,3,35,2/10/2020,RWT,carbon,ND,ND
22,EMW-13,3,35,2/10/2020,RWT,carbon,*,*
10,EMW-18,4,35,2/10/2020,RWT,carbon,ND,ND
11,EMW-19,4,35,2/10/2020,RWT,carbon,ND,ND
12,EMW-21,4.5,35,2/10/2020,RWT,carbon,ND,ND
13,EMW-01,5,35,2/10/2020,RWT,carbon,ND,ND
14,EMW-02,5,35,2/10/2020,RWT,carbon,ND,ND
23,RW-13,0,42,2/18/2020,fluorescein,groundwater,*,*
24,EMW-14,0,42,2/18/2020,fluorescein,groundwater,*,*
25,RW-01,0,42,2/18/2020,fluorescein,groundwater,*,*
26,RW-03,0,42,2/18/2020,fluorescein,groundwater,*,*
1,RW-02,1,42,2/18/2020,fluorescein,groundwater,-,-
2,VE-02,1,42,2/18/2020,fluorescein,groundwater,-,-
18,RW-12,1,42,2/18/2020,fluorescein,groundwater,ND,ND
19,RW-10,1,42,2/18/2020,fluorescein,groundwater,ND,ND
3,RW-04,2,42,2/18/2020,fluorescein,groundwater,ND,ND
4,RW-06,2,42,2/18/2020,fluorescein,groundwater,-,-
5,RW-07,2,42,2/18/2020,fluorescein,groundwater,-,-
6,RW-08,2,42,2/18/2020,fluorescein,groundwater,-,-
20,RW-05,2,42,2/18/2020,fluorescein,groundwater,ND,ND
21,EMW-20,2,42,2/18/2020,fluorescein,groundwater,ND,ND
7,EMW-07,3,42,2/18/2020,fluorescein,groundwater,-,-
8,EMW-11,3,42,2/18/2020,fluorescein,groundwater,-,-
9,EMW-12,3,42,2/18/2020,fluorescein,groundwater,-,-
22,EMW-13,3,42,2/18/2020,fluorescein,groundwater,ND,ND
10,EMW-18,4,42,2/18/2020,fluorescein,groundwater,*,*
11,EMW-19,4,42,2/18/2020,fluorescein,groundwater,*,*
12,EMW-21,4.5,42,2/18/2020,fluorescein,groundwater,*,*
13,EMW-01,5,42,2/18/2020,fluorescein,groundwater,*,*
14,EMW-02,5,42,2/18/2020,fluorescein,groundwater,*,*
23,RW-13,0,42,2/18/2020,RWT,groundwater,*,*
24,EMW-14,0,42,2/18/2020,RWT,groundwater,*,*
25,RW-01,0,42,2/18/2020,RWT,groundwater,*,*
26,RW-03,0,42,2/18/2020,RWT,groundwater,*,*
1,RW-02,1,42,2/18/2020,RWT,groundwater,-,-
2,VE-02,1,42,2/18/2020,RWT,groundwater,-,-
18,RW-12,1,42,2/18/2020,RWT,groundwater,-,-
19,RW-10,1,42,2/18/2020,RWT,groundwater,-,-
3,RW-04,2,42,2/18/2020,RWT,groundwater,574.2,15.5
4,RW-06,2,42,2/18/2020,RWT,groundwater,-,-
5,RW-07,2,42,2/18/2020,RWT,groundwater,-,-
6,RW-08,2,42,2/18/2020,RWT,groundwater,-,-
20,RW-05,2,42,2/18/2020,RWT,groundwater,*,*
21,EMW-20,2,42,2/18/2020,RWT,groundwater,*,*
7,EMW-07,3,42,2/18/2020,RWT,groundwater,-,-
8,EMW-11,3,42,2/18/2020,RWT,groundwater,-,-
9,EMW-12,3,42,2/18/2020,RWT,groundwater,-,-
22,EMW-13,3,42,2/18/2020,RWT,groundwater,-,-
10,EMW-18,4,42,2/18/2020,RWT,groundwater,-,-
11,EMW-19,4,42,2/18/2020,RWT,groundwater,-,-
12,EMW-21,4.5,42,2/18/2020,RWT,groundwater,ND,ND
13,EMW-01,5,42,2/18/2020,RWT,groundwater,-,-
14,EMW-02,5,42,2/18/2020,RWT,groundwater,-,-
23,RW-13,0,42,2/18/2020,fluorescein,carbon,*,*
24,EMW-14,0,42,2/18/2020,fluorescein,carbon,*,*
25,RW-01,0,42,2/18/2020,fluorescein,carbon,*,*
26,RW-03,0,42,2/18/2020,fluorescein,carbon,*,*
1,RW-02,1,42,2/18/2020,fluorescein,carbon,ND,ND
2,VE-02,1,42,2/18/2020,fluorescein,carbon,ND,ND
18,RW-12,1,42,2/18/2020,fluorescein,carbon,ND,ND
19,RW-10,1,42,2/18/2020,fluorescein,carbon,ND,ND
3,RW-04,2,42,2/18/2020,fluorescein,carbon,ND,ND
4,RW-06,2,42,2/18/2020,fluorescein,carbon,ND,ND
5,RW-07,2,42,2/18/2020,fluorescein,carbon,ND,ND
6,RW-08,2,42,2/18/2020,fluorescein,carbon,ND,ND
20,RW-05,2,42,2/18/2020,fluorescein,carbon,*,*
21,EMW-20,2,42,2/18/2020,fluorescein,carbon,*,*
7,EMW-07,3,42,2/18/2020,fluorescein,carbon,ND,ND
8,EMW-11,3,42,2/18/2020,fluorescein,carbon,ND,ND
9,EMW-12,3,42,2/18/2020,fluorescein,carbon,ND,ND
22,EMW-13,3,42,2/18/2020,fluorescein,carbon,ND,ND
10,EMW-18,4,42,2/18/2020,fluorescein,carbon,ND,ND
11,EMW-19,4,42,2/18/2020,fluorescein,carbon,ND,ND
12,EMW-21,4.5,42,2/18/2020,fluorescein,carbon,ND,ND
13,EMW-01,5,42,2/18/2020,fluorescein,carbon,ND,ND
14,EMW-02,5,42,2/18/2020,fluorescein,carbon,ND,ND
23,RW-13,0,42,2/18/2020,RWT,carbon,*,*
24,EMW-14,0,42,2/18/2020,RWT,carbon,*,*
25,RW-01,0,42,2/18/2020,RWT,carbon,*,*
26,RW-03,0,42,2/18/2020,RWT,carbon,*,*
1,RW-02,1,42,2/18/2020,RWT,carbon,ND,ND
2,VE-02,1,42,2/18/2020,RWT,carbon,ND,ND
18,RW-12,1,42,2/18/2020,RWT,carbon,ND,ND
19,RW-10,1,42,2/18/2020,RWT,carbon,ND,ND
3,RW-04,2,42,2/18/2020,RWT,carbon,568.0,32.7
4,RW-06,2,42,2/18/2020,RWT,carbon,ND,ND
5,RW-07,2,42,2/18/2020,RWT,carbon,ND,ND
6,RW-08,2,42,2/18/2020,RWT,carbon,ND,ND
20,RW-05,2,42,2/18/2020,RWT,carbon,*,*
21,EMW-20,2,42,2/18/2020,RWT,carbon,*,*
7,EMW-07,3,42,2/18/2020,RWT,carbon,ND,ND
8,EMW-11,3,42,2/18/2020,RWT,carbon,ND,ND
9,EMW-12,3,42,2/18/2020,RWT,carbon,ND,ND
22,EMW-13,3,42,2/18/2020,RWT,carbon,ND,ND
10,EMW-18,4,42,2/18/2020,RWT,carbon,-,-
11,EMW-19,4,42,2/18/2020,RWT,carbon,-,-
12,EMW-21,4.5,42,2/18/2020,RWT,carbon,ND,ND
13,EMW-01,5,42,2/18/2020,RWT,carbon,-,-
14,EMW-02,5,42,2/18/2020,RWT,carbon,-,-
23,RW-13,0,49,2/24/2020,fluorescein,groundwater,*,*
24,EMW-14,0,49,2/24/2020,fluorescein,groundwater,*,*
25,RW-01,0,49,2/24/2020,fluorescein,groundwater,*,*
26,RW-03,0,49,2/24/2020,fluorescein,groundwater,*,*
1,RW-02,1,49,2/24/2020,fluorescein,groundwater,-,-
2,VE-02,1,49,2/24/2020,fluorescein,groundwater,-,-
18,RW-12,1,49,2/24/2020,fluorescein,groundwater,-,-
19,RW-10,1,49,2/24/2020,fluorescein,groundwater,-,-
3,RW-04,2,49,2/24/2020,fluorescein,groundwater,ND,ND
4,RW-06,2,49,2/24/2020,fluorescein,groundwater,-,-
5,RW-07,2,49,2/24/2020,fluorescein,groundwater,-,-
6,RW-08,2,49,2/24/2020,fluorescein,groundwater,-,-
20,RW-05,2,49,2/24/2020,fluorescein,groundwater,-,-
21,EMW-20,2,49,2/24/2020,fluorescein,groundwater,-,-
7,EMW-07,3,49,2/24/2020,fluorescein,groundwater,ND,ND
8,EMW-11,3,49,2/24/2020,fluorescein,groundwater,508.2,0.417
9,EMW-12,3,49,2/24/2020,fluorescein,groundwater,-,-
22,EMW-13,3,49,2/24/2020,fluorescein,groundwater,-,-
10,EMW-18,4,49,2/24/2020,fluorescein,groundwater,*,*
11,EMW-19,4,49,2/24/2020,fluorescein,groundwater,*,*
12,EMW-21,4.5,49,2/24/2020,fluorescein,groundwater,*,*
13,EMW-01,5,49,2/24/2020,fluorescein,groundwater,*,*
14,EMW-02,5,49,2/24/2020,fluorescein,groundwater,*,*
23,RW-13,0,49,2/24/2020,RWT,groundwater,*,*
24,EMW-14,0,49,2/24/2020,RWT,groundwater,*,*
25,RW-01,0,49,2/24/2020,RWT,groundwater,*,*
26,RW-03,0,49,2/24/2020,RWT,groundwater,*,*
1,RW-02,1,49,2/24/2020,RWT,groundwater,-,-
2,VE-02,1,49,2/24/2020,RWT,groundwater,-,-
18,RW-12,1,49,2/24/2020,RWT,groundwater,-,-
19,RW-10,1,49,2/24/2020,RWT,groundwater,-,-
3,RW-04,2,49,2/24/2020,RWT,groundwater,573.8,7.61
4,RW-06,2,49,2/24/2020,RWT,groundwater,-,-
5,RW-07,2,49,2/24/2020,RWT,groundwater,-,-
6,RW-08,2,49,2/24/2020,RWT,groundwater,-,-
20,RW-05,2,49,2/24/2020,RWT,groundwater,-,-
21,EMW-20,2,49,2/24/2020,RWT,groundwater,-,-
7,EMW-07,3,49,2/24/2020,RWT,groundwater,ND,ND
8,EMW-11,3,49,2/24/2020,RWT,groundwater,ND,ND
9,EMW-12,3,49,2/24/2020,RWT,groundwater,-,-
22,EMW-13,3,49,2/24/2020,RWT,groundwater,-,-
10,EMW-18,4,49,2/24/2020,RWT,groundwater,*,*
11,EMW-19,4,49,2/24/2020,RWT,groundwater,*,*
12,EMW-21,4.5,49,2/24/2020,RWT,groundwater,*,*
13,EMW-01,5,49,2/24/2020,RWT,groundwater,*,*
14,EMW-02,5,49,2/24/2020,RWT,groundwater,*,*
23,RW-13,0,49,2/24/2020,fluorescein,carbon,*,*
24,EMW-14,0,49,2/24/2020,fluorescein,carbon,*,*
25,RW-01,0,49,2/24/2020,fluorescein,carbon,*,*
26,RW-03,0,49,2/24/2020,fluorescein,carbon,*,*
1,RW-02,1,49,2/24/2020,fluorescein,carbon,ND,ND
2,VE-02,1,49,2/24/2020,fluorescein,carbon,ND,ND
18,RW-12,1,49,2/24/2020,fluorescein,carbon,ND,ND
19,RW-10,1,49,2/24/2020,fluorescein,carbon,ND,ND
3,RW-04,2,49,2/24/2020,fluorescein,carbon,ND,ND
4,RW-06,2,49,2/24/2020,fluorescein,carbon,ND,ND
5,RW-07,2,49,2/24/2020,fluorescein,carbon,ND,ND
6,RW-08,2,49,2/24/2020,fluorescein,carbon,ND,ND
20,RW-05,2,49,2/24/2020,fluorescein,carbon,ND,ND
21,EMW-20,2,49,2/24/2020,fluorescein,carbon,ND,ND
7,EMW-07,3,49,2/24/2020,fluorescein,carbon,515.2,2.17
8,EMW-11,3,49,2/24/2020,fluorescein,carbon,515.4,9.31
9,EMW-12,3,49,2/24/2020,fluorescein,carbon,ND,ND
22,EMW-13,3,49,2/24/2020,fluorescein,carbon,ND,ND
10,EMW-18,4,49,2/24/2020,fluorescein,carbon,*,*
11,EMW-19,4,49,2/24/2020,fluorescein,carbon,*,*
12,EMW-21,4.5,49,2/24/2020,fluorescein,carbon,*,*
13,EMW-01,5,49,2/24/2020,fluorescein,carbon,*,*
14,EMW-02,5,49,2/24/2020,fluorescein,carbon,*,*
23,RW-13,0,49,2/24/2020,RWT,carbon,*,*
24,EMW-14,0,49,2/24/2020,RWT,carbon,*,*
25,RW-01,0,49,2/24/2020,RWT,carbon,*,*
26,RW-03,0,49,2/24/2020,RWT,carbon,*,*
1,RW-02,1,49,2/24/2020,RWT,carbon,ND,ND
2,VE-02,1,49,2/24/2020,RWT,carbon,ND,ND
18,RW-12,1,49,2/24/2020,RWT,carbon,ND,ND
19,RW-10,1,49,2/24/2020,RWT,carbon,ND,ND
3,RW-04,2,49,2/24/2020,RWT,carbon,568.1,22.8
4,RW-06,2,49,2/24/2020,RWT,carbon,ND,ND
5,RW-07,2,49,2/24/2020,RWT,carbon,ND,ND
6,RW-08,2,49,2/24/2020,RWT,carbon,ND,ND
20,RW-05,2,49,2/24/2020,RWT,carbon,ND,ND
21,EMW-20,2,49,2/24/2020,RWT,carbon,ND,ND
7,EMW-07,3,49,2/24/2020,RWT,carbon,ND,ND
8,EMW-11,3,49,2/24/2020,RWT,carbon,ND,ND
9,EMW-12,3,49,2/24/2020,RWT,carbon,ND,ND
22,EMW-13,3,49,2/24/2020,RWT,carbon,ND,ND
10,EMW-18,4,49,2/24/2020,RWT,carbon,*,*
11,EMW-19,4,49,2/24/2020,RWT,carbon,*,*
12,EMW-21,4.5,49,2/24/2020,RWT,carbon,*,*
13,EMW-01,5,49,2/24/2020,RWT,carbon,*,*
14,EMW-02,5,49,2/24/2020,RWT,carbon,*,*
23,RW-13,0,56,3/2/2020,fluorescein,groundwater,*,*
24,EMW-14,0,56,3/2/2020,fluorescein,groundwater,*,*
25,RW-01,0,56,3/2/2020,fluorescein,groundwater,*,*
26,RW-03,0,56,3/2/2020,fluorescein,groundwater,*,*
1,RW-02,1,56,3/2/2020,fluorescein,groundwater,-,-
2,VE-02,1,56,3/2/2020,fluorescein,groundwater,-,-
18,RW-12,1,56,3/2/2020,fluorescein,groundwater,-,-
19,RW-10,1,56,3/2/2020,fluorescein,groundwater,-,-
3,RW-04,2,56,3/2/2020,fluorescein,groundwater,ND,ND
4,RW-06,2,56,3/2/2020,fluorescein,groundwater,-,-
5,RW-07,2,56,3/2/2020,fluorescein,groundwater,-,-
6,RW-08,2,56,3/2/2020,fluorescein,groundwater,-,-
20,RW-05,2,56,3/2/2020,fluorescein,groundwater,-,-
21,EMW-20,2,56,3/2/2020,fluorescein,groundwater,-,-
7,EMW-07,3,56,3/2/2020,fluorescein,groundwater,507.2,0.052
8,EMW-11,3,56,3/2/2020,fluorescein,groundwater,507.8,0.147
9,EMW-12,3,56,3/2/2020,fluorescein,groundwater,-,-
22,EMW-13,3,56,3/2/2020,fluorescein,groundwater,-,-
10,EMW-18,4,56,3/2/2020,fluorescein,groundwater,ND,ND
11,EMW-19,4,56,3/2/2020,fluorescein,groundwater,ND,ND
12,EMW-21,4.5,56,3/2/2020,fluorescein,groundwater,*,*
13,EMW-01,5,56,3/2/2020,fluorescein,groundwater,*,*
14,EMW-02,5,56,3/2/2020,fluorescein,groundwater,*,*
23,RW-13,0,56,3/2/2020,RWT,groundwater,*,*
24,EMW-14,0,56,3/2/2020,RWT,groundwater,*,*
25,RW-01,0,56,3/2/2020,RWT,groundwater,*,*
26,RW-03,0,56,3/2/2020,RWT,groundwater,*,*
1,RW-02,1,56,3/2/2020,RWT,groundwater,-,-
2,VE-02,1,56,3/2/2020,RWT,groundwater,-,-
18,RW-12,1,56,3/2/2020,RWT,groundwater,-,-
19,RW-10,1,56,3/2/2020,RWT,groundwater,-,-
3,RW-04,2,56,3/2/2020,RWT,groundwater,573.5,2.92
4,RW-06,2,56,3/2/2020,RWT,groundwater,-,-
5,RW-07,2,56,3/2/2020,RWT,groundwater,-,-
6,RW-08,2,56,3/2/2020,RWT,groundwater,-,-
20,RW-05,2,56,3/2/2020,RWT,groundwater,-,-
21,EMW-20,2,56,3/2/2020,RWT,groundwater,-,-
7,EMW-07,3,56,3/2/2020,RWT,groundwater,ND,ND
8,EMW-11,3,56,3/2/2020,RWT,groundwater,ND,ND
9,EMW-12,3,56,3/2/2020,RWT,groundwater,-,-
22,EMW-13,3,56,3/2/2020,RWT,groundwater,-,-
10,EMW-18,4,56,3/2/2020,RWT,groundwater,ND,ND
11,EMW-19,4,56,3/2/2020,RWT,groundwater,ND,ND
12,EMW-21,4.5,56,3/2/2020,RWT,groundwater,*,*
13,EMW-01,5,56,3/2/2020,RWT,groundwater,*,*
14,EMW-02,5,56,3/2/2020,RWT,groundwater,*,*
23,RW-13,0,56,3/2/2020,fluorescein,carbon,*,*
24,EMW-14,0,56,3/2/2020,fluorescein,carbon,*,*
25,RW-01,0,56,3/2/2020,fluorescein,carbon,*,*
26,RW-03,0,56,3/2/2020,fluorescein,carbon,*,*
1,RW-02,1,56,3/2/2020,fluorescein,carbon,ND,ND
2,VE-02,1,56,3/2/2020,fluorescein,carbon,ND,ND
18,RW-12,1,56,3/2/2020,fluorescein,carbon,518.2,0.290
19,RW-10,1,56,3/2/2020,fluorescein,carbon,ND,ND
3,RW-04,2,56,3/2/2020,fluorescein,carbon,ND,ND
4,RW-06,2,56,3/2/2020,fluorescein,carbon,ND,ND
5,RW-07,2,56,3/2/2020,fluorescein,carbon,ND,ND
6,RW-08,2,56,3/2/2020,fluorescein,carbon,ND,ND
20,RW-05,2,56,3/2/2020,fluorescein,carbon,ND,ND
21,EMW-20,2,56,3/2/2020,fluorescein,carbon,ND,ND
7,EMW-07,3,56,3/2/2020,fluorescein,carbon,514.4,1.35
8,EMW-11,3,56,3/2/2020,fluorescein,carbon,515.4,4.70
9,EMW-12,3,56,3/2/2020,fluorescein,carbon,ND,ND
22,EMW-13,3,56,3/2/2020,fluorescein,carbon,ND,ND
10,EMW-18,4,56,3/2/2020,fluorescein,carbon,518,0.336
11,EMW-19,4,56,3/2/2020,fluorescein,carbon,513.8,0.388
12,EMW-21,4.5,56,3/2/2020,fluorescein,carbon,ND,ND
13,EMW-01,5,56,3/2/2020,fluorescein,carbon,ND,ND
14,EMW-02,5,56,3/2/2020,fluorescein,carbon,ND,ND
23,RW-13,0,56,3/2/2020,RWT,carbon,*,*
24,EMW-14,0,56,3/2/2020,RWT,carbon,*,*
25,RW-01,0,56,3/2/2020,RWT,carbon,*,*
26,RW-03,0,56,3/2/2020,RWT,carbon,*,*
1,RW-02,1,56,3/2/2020,RWT,carbon,ND,ND
2,VE-02,1,56,3/2/2020,RWT,carbon,ND,ND
18,RW-12,1,56,3/2/2020,RWT,carbon,ND,ND
19,RW-10,1,56,3/2/2020,RWT,carbon,ND,ND
3,RW-04,2,56,3/2/2020,RWT,carbon,567.6,30.5
4,RW-06,2,56,3/2/2020,RWT,carbon,ND,ND
5,RW-07,2,56,3/2/2020,RWT,carbon,ND,ND
6,RW-08,2,56,3/2/2020,RWT,carbon,ND,ND
20,RW-05,2,56,3/2/2020,RWT,carbon,ND,ND
21,EMW-20,2,56,3/2/2020,RWT,carbon,ND,ND
7,EMW-07,3,56,3/2/2020,RWT,carbon,ND,ND
8,EMW-11,3,56,3/2/2020,RWT,carbon,ND,ND
9,EMW-12,3,56,3/2/2020,RWT,carbon,ND,ND
22,EMW-13,3,56,3/2/2020,RWT,carbon,ND,ND
10,EMW-18,4,56,3/2/2020,RWT,carbon,569.4,2.48
11,EMW-19,4,56,3/2/2020,RWT,carbon,ND,ND
12,EMW-21,4.5,56,3/2/2020,RWT,carbon,ND,ND
13,EMW-01,5,56,3/2/2020,RWT,carbon,ND,ND
14,EMW-02,5,56,3/2/2020,RWT,carbon,ND,ND
23,RW-13,0,63,3/9/2020,fluorescein,groundwater,ND,ND
24,EMW-14,0,63,3/9/2020,fluorescein,groundwater,ND,ND
25,RW-01,0,63,3/9/2020,fluorescein,groundwater,ND,ND
26,RW-03,0,63,3/9/2020,fluorescein,groundwater,*,*
1,RW-02,1,63,3/9/2020,fluorescein,groundwater,-,-
2,VE-02,1,63,3/9/2020,fluorescein,groundwater,ND,ND
18,RW-12,1,63,3/9/2020,fluorescein,groundwater,ND,ND
19,RW-10,1,63,3/9/2020,fluorescein,groundwater,-,-
3,RW-04,2,63,3/9/2020,fluorescein,groundwater,ND,ND
4,RW-06,2,63,3/9/2020,fluorescein,groundwater,-,-
5,RW-07,2,63,3/9/2020,fluorescein,groundwater,-,-
6,RW-08,2,63,3/9/2020,fluorescein,groundwater,-,-
20,RW-05,2,63,3/9/2020,fluorescein,groundwater,-,-
21,EMW-20,2,63,3/9/2020,fluorescein,groundwater,-,-
7,EMW-07,3,63,3/9/2020,fluorescein,groundwater,ND,ND
8,EMW-11,3,63,3/9/2020,fluorescein,groundwater,507.8,0.170
9,EMW-12,3,63,3/9/2020,fluorescein,groundwater,-,-
22,EMW-13,3,63,3/9/2020,fluorescein,groundwater,-,-
10,EMW-18,4,63,3/9/2020,fluorescein,groundwater,*,*
11,EMW-19,4,63,3/9/2020,fluorescein,groundwater,*,*
12,EMW-21,4.5,63,3/9/2020,fluorescein,groundwater,*,*
13,EMW-01,5,63,3/9/2020,fluorescein,groundwater,*,*
14,EMW-02,5,63,3/9/2020,fluorescein,groundwater,*,*
23,RW-13,0,63,3/9/2020,RWT,groundwater,ND,ND
24,EMW-14,0,63,3/9/2020,RWT,groundwater,ND,ND
25,RW-01,0,63,3/9/2020,RWT,groundwater,ND,ND
26,RW-03,0,63,3/9/2020,RWT,groundwater,*,*
1,RW-02,1,63,3/9/2020,RWT,groundwater,-,-
2,VE-02,1,63,3/9/2020,RWT,groundwater,ND,ND
18,RW-12,1,63,3/9/2020,RWT,groundwater,ND,ND
19,RW-10,1,63,3/9/2020,RWT,groundwater,-,-
3,RW-04,2,63,3/9/2020,RWT,groundwater,573.6,6.59
4,RW-06,2,63,3/9/2020,RWT,groundwater,-,-
5,RW-07,2,63,3/9/2020,RWT,groundwater,-,-
6,RW-08,2,63,3/9/2020,RWT,groundwater,-,-
20,RW-05,2,63,3/9/2020,RWT,groundwater,-,-
21,EMW-20,2,63,3/9/2020,RWT,groundwater,-,-
7,EMW-07,3,63,3/9/2020,RWT,groundwater,ND,ND
8,EMW-11,3,63,3/9/2020,RWT,groundwater,ND,ND
9,EMW-12,3,63,3/9/2020,RWT,groundwater,-,-
22,EMW-13,3,63,3/9/2020,RWT,groundwater,-,-
10,EMW-18,4,63,3/9/2020,RWT,groundwater,*,*
11,EMW-19,4,63,3/9/2020,RWT,groundwater,*,*
12,EMW-21,4.5,63,3/9/2020,RWT,groundwater,*,*
13,EMW-01,5,63,3/9/2020,RWT,groundwater,*,*
14,EMW-02,5,63,3/9/2020,RWT,groundwater,*,*
23,RW-13,0,63,3/9/2020,fluorescein,carbon,ND,ND
24,EMW-14,0,63,3/9/2020,fluorescein,carbon,511.4,0.218
25,RW-01,0,63,3/9/2020,fluorescein,carbon,ND,ND
26,RW-03,0,63,3/9/2020,fluorescein,carbon,*,*
